Ni;Ti;Hf;Cv;melting point;electronegativity;atomic radius;ionic radius;atomic mass;wcr;hom.T;hom.time;sht.T;sht.time;ag.T;ag.time;Af;Hysteresis
50.2;29.8;20;0.2003;1674.3;1.6777;0.1384;0.0786;79.445;0.475;1050;72;0;0;550;3;280;37
50;30;20;0.2;1674.7;1.677;0.1384;0.0786;79.423;0.475;1050;72;1050;3;0;0;335;38
50;30;20;0.2;1674.7;1.677;0.1384;0.0786;79.423;0.475;1050;72;0;0;400;3;342;39
50;30;20;0.2;1674.7;1.677;0.1384;0.0786;79.423;0.475;1050;72;0;0;550;3;335;40
50;30;20;0.2;1674.7;1.677;0.1384;0.0786;79.423;0.475;1050;72;0;0;650;3;333;40
50;30;20;0.2;1674.7;1.677;0.1384;0.0786;79.423;0.475;1050;72;0;0;0;0;346;43
49;36;15;0.2139;1648.8;1.6853;0.138;0.0782;72.785;0.46;950;1.5;1000;1;0;0;234;50
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;500;3;167;24
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;900;3;500;3;174;26
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;500;1;153;26
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;400;24;126;27
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;550;3;191;28
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;500;48;195;29
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;500;20;188;30
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;500;0.333;147;30
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;400;3;131;31
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;500;10;184;33
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;300;1;145;33
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;350;1;142;33
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;400;1;140;34
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;600;3;209;35
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;900;3;175;35
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;400;0.5;139;35
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;600;0.5;199;36
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;300;3;142;36
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;500;0.25;152;37
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;300;0.25;156;38
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;350;0.25;154;39
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;300;0.5;152;39
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;400;0.25;145;39
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;0;0;160;41
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;600;10;223;43
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;350;0.5;148;45
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;650;3;218;47
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;0;0;700;3;208;51
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;550;3;103;55
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;450;10;37;55
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;500;3;68;56
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;1050;72;900;1;600;10;170;57
